,Survived,Pclass,Sex,Family_Survival,Age_Bin,Fare_Bin,Relatives,Title_Bin
0,0.0,3,1,0.5,1,0,1,2
1,1.0,1,0,0.5,2,4,1,3
2,1.0,3,0,0.5,1,1,0,1
3,1.0,1,0,0.0,2,4,1,3
4,0.0,3,1,0.5,2,1,0,2
5,0.0,3,1,0.5,1,1,0,2
6,0.0,1,1,0.5,3,4,0,2
7,0.0,3,1,0.0,0,2,4,0
8,1.0,3,0,1.0,1,2,2,3
9,1.0,2,0,0.0,0,3,1,3
10,1.0,3,0,1.0,0,2,2,1
11,1.0,1,0,0.5,3,3,0,1
12,0.0,3,1,0.5,1,1,0,2
13,0.0,3,1,0.0,2,3,6,2
14,0.0,3,0,0.5,0,0,0,1
15,1.0,2,0,0.5,3,2,0,3
16,0.0,3,1,0.0,0,3,5,0
17,1.0,2,1,0.5,1,2,0,2
18,0.0,3,0,0.0,2,2,1,3
19,1.0,3,0,0.5,1,0,0,3
20,0.0,2,1,0.0,2,3,0,2
21,1.0,2,1,0.5,2,2,0,2
22,1.0,3,0,0.5,1,1,0,1
23,1.0,1,1,0.5,1,3,0,2
24,0.0,3,0,0.0,0,2,4,1
25,1.0,3,0,1.0,2,3,6,3
26,0.0,3,1,0.5,1,0,0,2
27,0.0,1,1,1.0,1,4,5,2
28,1.0,3,0,0.5,1,1,0,1
29,0.0,3,1,0.5,1,1,0,2
30,0.0,1,1,0.5,2,3,0,4
31,1.0,1,0,1.0,1,4,1,3
32,1.0,3,0,0.5,1,0,0,1
33,0.0,2,1,0.5,4,1,0,2
34,0.0,1,1,1.0,1,4,1,2
35,0.0,1,1,1.0,2,4,1,2
36,1.0,3,1,0.5,1,0,0,2
37,0.0,3,1,0.5,1,1,0,2
38,0.0,3,0,0.0,1,2,2,1
39,1.0,3,0,1.0,0,2,1,1
40,0.0,3,0,0.5,2,1,1,3
41,0.0,2,0,0.0,1,2,1,3
42,0.0,3,1,0.5,1,1,0,2
43,1.0,2,0,1.0,0,3,3,1
44,1.0,3,0,0.5,1,1,0,1
45,0.0,3,1,0.5,1,1,0,2
46,0.0,3,1,0.5,1,2,1,2
47,1.0,3,0,0.5,1,0,0,1
48,0.0,3,1,0.5,1,3,2,2
49,0.0,3,0,0.0,1,2,1,3
